"","estimate","2.5%","97.5%","margpp"
"intercept",-1.27758767818783,-2.25552942940693,-0.282900383666616,1
"E2F2",0.212476913873785,0.149065793601327,0.292592702273435,0.999999898956049
"E2F4",0.287634144952143,0,0.406421607784601,0.90046238612092
"FLI1",0.0722406195050969,0,0.126010158799138,0.784479588311231
"FOXK1",0.153123978734118,0,0.324012277987835,0.660260862527621
"HSF4",-0.123142148974429,-0.221549260093773,0,0.642017481986151
"IRF4",0.0886558407575621,0,0.167062626683283,0.631231189723113
"MAX",-0.249038863154444,-0.356956798993739,0,0.902528685704516
"MSX2",-0.0824902330041488,-0.139396274699904,0,0.831747923002206
"NR2C1",0.150349105728192,0,0.321273750092086,0.562702504025186
"RARA",-0.108402110061484,-0.23983807056388,0,0.61912873045985
"ZNF189",-0.258616281462569,-0.350702987488184,-0.133233861688242,0.951263839718418
"ZNF692",0.291237562365001,0.207593330012476,0.374051050690616,0.999995485150555
"phi",1.0011896837868,0.929355448824715,1.08549338791461,1
