"","estimate","X2.5.","X97.5.","margpp","beta"
"ALX3",0,0,0,3.66670857441195e-06,0
"ARGFX",-0.00240618512489925,0,0,0.00297588282674964,0
"ARNT2",0,0,0,9.97236519626364e-06,0
"ASCL1",0.00484499664139114,0,0.0960213797459069,0.0692651554796927,0.00490544869117671
"ATF2",0,0,0,1.73773480904094e-05,0
"ATF3",-0.00153404287343064,0,0,0.0316717029663004,-0.00128082456504647
"ATF4",0,0,0,7.6931858535796e-06,0
"ATF6",-3.35107601781209e-05,0,0,0.00115025435748222,0
"ATF7",0,0,0,1.01330474362666e-05,0
"ATOH7",0,0,0,3.10079679807598e-05,0
"BACH1",0,0,0,9.21437562049539e-05,0
"BACH2",0.00165742319209128,0,0,0.0165585947172345,0.00135502723700598
"BARHL1",0,0,0,7.09446065864497e-06,0
"BARHL2",0,0,0,4.73659038345459e-06,0
"BARX1",0,0,0,8.67880536469219e-06,0
"BARX2",0,0,0,4.38973807830011e-06,0
"BATF",-0.0215479641558872,-0.110759266055163,0,0.318027427416417,-0.0205704432210409
"BATF3",0,0,0,0.000337252992923421,0
"BCL11A",0,0,0,0.000246586506339054,0
"BCL6",0,0,0,4.71053464885918e-05,0
"BCL6B",0,0,0,8.55200225686882e-06,0
"BHLHA15",6.93613210121178e-06,0,0,0.00228222226297955,0
"BHLHE22",0,0,0,8.3564772265908e-06,0
"BHLHE23",0,0,0,9.96270401033181e-06,0
"BHLHE40",0,0,0,0.000188671823302398,0
"BHLHE41",0,0,0,9.74317880194754e-06,0
"BNC2",0,0,0,7.15930012729986e-06,0
"BSX",0,0,0,2.6755218695799e-05,0
"CDX1",0,0,0,1.14625837071149e-05,0
"CDX2",0,0,0,0.000126440116014544,0
"CDX4",0,0,0,4.26519276537957e-05,0
"CEBPA",0,0,0,1.19297182623375e-05,0
"CEBPB",0,0,0,2.22152879091317e-05,0
"CEBPD",0,0,0,1.84256970463492e-05,0
"CEBPE",0,0,0,7.57839525058912e-06,0
"CEBPG",0,0,0,7.42182640209406e-06,0
"CLOCK",-3.97381247929133e-05,0,0,0.00197693037832537,-0.000120079673013809
"CREB1",0,0,0,2.54918054216488e-05,0
