"","estimate","X2.5.","X97.5.","margpp","beta"
"SRF",0,0,0,8.95667380758327e-06,0
"SRY",0,0,0,2.50300525092125e-05,0
"STAT1",-0.0001155611158664,0,0,0.0053675283155533,-7.66690952654733e-05
"STAT3",-0.00226189479839044,0,0,0.0459237471148136,-0.00203540918118905
"TBP",0,0,0,8.91959953026398e-06,0
"TBR1",0,0,0,2.39231244409104e-06,0
"TBX1",0,0,0,4.8974370968133e-06,0
"TBX15",0,0,0,3.74717170647529e-06,0
"TBX18",0,0,0,1.43260062439852e-05,0
"TBX19",-9.15881364499161e-05,0,0,0.00429655260093694,0
"TBX2",0,0,0,5.06688195099738e-05,0
"TBX20",0,0,0,4.49987094554664e-06,0
"TBX21",0,0,0,2.51244554370846e-05,0
"TBX3",0,0,0,9.57763230522392e-06,0
"TBX4",0,0,0,2.0354669185318e-06,0
"TBX5",0,0,0,3.07541074580066e-06,0
"TBXT",0,0,0,2.28212768890264e-05,0
"TCF12",0,0,0,1.12757548451253e-05,0
"TCF21",0,0,0,2.58399503076894e-06,0
"TCF3",2.28594676466162e-05,0,0,0.0024137072794676,0
"TCF4",0,0,0,5.85574725154395e-05,0
"TCF7",0,0,0,3.69225373232821e-06,0
"TCF7L1",0,0,0,1.91115977274779e-05,0
"TCF7L2",0,0,0,0.000155822497843195,0
"TCFL5",0,0,0,1.51390520616775e-05,0
"TEAD1",0.00162774941567803,0,0,0.0363333508417389,0.00148733607093618
"TEAD2",-0.00748745810004273,-0.0849838373815861,0,0.0889811890167962,-0.00666580391208408
"TEAD3",-3.97762286179517e-05,0,0,0.00228406225319468,-8.99000790057866e-05
"TEAD4",1.53875980501883e-05,0,0,0.00242442047552255,0
"TEF",0,0,0,0.000266098275872949,0
"TFAP2A",0,0,0,0.000120389945938522,0
"TFAP2B",0,0,0,1.25049221760783e-05,0
"TFAP2C",-0.000186070136598584,0,0,0.00307418562761791,-0.000162390512338542
"TFAP2E",0,0,0,0.000123469557514891,0
"TFAP4",0.0127298398319817,0,0.218251664595131,0.064713344268,0.0124728976163831
"TFCP2",0,0,0,5.85791341224657e-06,0
"TFDP1",0,0,0,8.19077672082784e-06,0
"TFE3",0,0,0,8.5379906103986e-06,0
"TFEB",0,0,0,6.1901234325553e-05,0
"TFEC",0,0,0,5.48161089207778e-05,0
"TGIF1",0,0,0,2.00565522487336e-05,0
"TGIF2",0.00348041302870375,0,0.089790397359169,0.0552663276613487,0.00311326775171437
"TGIF2LX",0,0,0,7.76136107614735e-06,0
"TGIF2LY",0,0,0,1.87019146619163e-06,0
"THAP1",0,0,0,8.56184100671489e-06,0
"THRA",0,0,0,2.37330592017692e-05,0
"THRB",0,0,0,1.11780982442159e-05,0
"TLX2",0,0,0,9.37458278032687e-06,0
"TP53",0,0,0,3.87615596264348e-05,0
"TP63",0,0,0,1.56134519997409e-05,0
"TP73",-0.00421372825921419,-0.0918726176836565,0,0.050542364417063,-0.0047453782627217
"TRPS1",-0.000145854436948132,0,0,0.00275422789754415,0
"TWIST1",0,0,0,7.95529772052728e-06,0
"UNCX",0,0,0,3.38883125767073e-06,0
"USF1",0,0,0,0.000554170907807564,0
"USF2",0,0,0,9.03260419999938e-05,0
"VAX1",0,0,0,8.02399659751031e-05,0
"VAX2",0,0,0,0.000355327098998766,0
"VENTX",0,0,0,2.60750599410092e-06,0
"VEZF1",0,0,0,8.12411813594734e-05,0
"VSX1",0,0,0,7.23220748308069e-06,0
"VSX2",0,0,0,4.84576184194459e-05,0
"XBP1",0,0,0,2.36052016300868e-05,0
"YY2",0,0,0,9.35454974561476e-06,0
"ZBED1",0,0,0,0.00129088839255396,0
"ZBED2",-4.08632201352276e-06,0,0,0.000183362568549126,0
"ZBED4",0.000673159583270116,0,0,0.0160321720732021,0.00107222831637131
"ZBTB11",0,0,0,2.46117732913221e-05,0
"ZBTB12",0.111030294525653,0,0.289679163668204,0.463408148578437,0.111195546876408
"ZBTB14",0,0,0,0.00172390437001404,0
"ZBTB17",0,0,0,1.41165870934895e-05,0
"ZBTB18",0,0,0,8.86018590939314e-06,0
"ZBTB24",0,0,0,0.000320086778452307,0
"ZBTB26",2.26331027472971e-05,0,0,0.00110067626909626,0
"ZBTB32",-0.0357471354895417,-0.190825887881717,0,0.246317304744709,-0.0344248051561128
"ZBTB33",0,0,0,0.000390825443703283,0
"ZBTB6",-0.000750838273346609,0,0,0.0109400256061238,0
"ZBTB7A",0,0,0,0.000125950113054477,0
"ZBTB7B",0,0,0,0.00018932939752189,0
"ZBTB7C",0,0,0,3.65645451885799e-05,0
"ZEB1",0,0,0,4.45342046165938e-05,0
"ZFP14",0,0,0,1.31894135147335e-05,0
"ZFP42",0,0,0,3.88631399720281e-06,0
"ZFP57",0,0,0,0.000135778580733667,0
"ZIC1",0,0,0,3.21446555578551e-06,0
